id,Dia,Manera_de_la_muerte,Arma,Edad,Genero,Raza,Ciudad,Estado,Signos_de_enfermedades_mentales,Nivel_de_amenaza,flee,Categoria_de_armas
3,2015-01-02,shot,gun,53.0,M,Asian,Shelton,WA,True,attack,Not fleeing,Guns
4,2015-01-02,shot,gun,47.0,M,White,Aloha,OR,False,attack,Not fleeing,Guns
5,2015-01-03,shot and Tasered,unarmed,23.0,M,Hispanic,Wichita,KS,False,other,Not fleeing,Unarmed
8,2015-01-04,shot,toy weapon,32.0,M,White,San Francisco,CA,True,attack,Not fleeing,Other unusual objects
9,2015-01-04,shot,nail gun,39.0,M,Hispanic,Evans,CO,False,attack,Not fleeing,Piercing objects
11,2015-01-04,shot,gun,18.0,M,White,Guthrie,OK,False,attack,Not fleeing,Guns
13,2015-01-05,shot,gun,22.0,M,Hispanic,Chandler,AZ,False,attack,Car,Guns
15,2015-01-06,shot,gun,35.0,M,White,Assaria,KS,False,attack,Not fleeing,Guns
16,2015-01-06,shot,unarmed,34.0,F,White,Burlington,IA,False,other,Not fleeing,Unarmed
17,2015-01-06,shot,toy weapon,47.0,M,Black,Knoxville,PA,False,attack,Not fleeing,Other unusual objects
19,2015-01-06,shot and Tasered,knife,25.0,M,White,Stockton,CA,False,attack,Not fleeing,Sharp objects
21,2015-01-07,shot,gun,31.0,M,Black,Freeport,TX,False,attack,Not fleeing,Guns
22,2015-01-07,shot,knife,41.0,M,Black,Columbus,OH,True,other,Not fleeing,Sharp objects
25,2015-01-07,shot,gun,30.0,M,White,Des Moines,IA,False,attack,Car,Guns
27,2015-01-07,shot,gun,37.0,M,Black,New Orleans,LA,False,attack,Foot,Guns
29,2015-01-08,shot,unknown,28.0,M,White,Huntley,MT,False,undetermined,Not fleeing,Unknown
32,2015-01-08,shot,shovel,42.0,M,White,Salt Lake City,UT,False,attack,Not fleeing,Blunt instruments
36,2015-01-08,shot,unarmed,36.0,M,Black,Strong,AR,False,attack,Not fleeing,Unarmed
37,2015-01-08,shot,gun,49.0,M,White,Syracuse,UT,False,attack,Not fleeing,Guns
38,2015-01-09,shot,gun,71.0,M,White,England,AR,False,attack,Not fleeing,Guns
325,2015-01-09,shot,gun,33.0,M,Hispanic,El Paso,TX,False,attack,Not fleeing,Guns
42,2015-01-11,shot,gun,39.0,M,White,Arcola,IL,True,attack,Not fleeing,Guns
43,2015-01-11,shot,gun,23.0,M,Hispanic,South Gate,CA,False,attack,Not fleeing,Guns
45,2015-01-11,shot and Tasered,gun,29.0,M,Hispanic,North Las Vegas,NV,False,attack,Foot,Guns
46,2015-01-13,shot,gun,34.0,M,White,Albuquerque,NM,False,attack,Foot,Guns
48,2015-01-13,shot,knife,43.0,M,White,Jourdanton,TX,True,other,Not fleeing,Sharp objects
49,2015-01-14,shot,unknown,24.0,M,Black,St. Paul,MN,False,attack,Not fleeing,Unknown
50,2015-01-14,shot,unknown,29.0,M,White,Franklin County,MO,False,attack,Not fleeing,Unknown
51,2015-01-14,shot,gun,34.0,M,Black,Chesapeake,VA,True,attack,Not fleeing,Guns
